Sample Size,Model,Metric,Mean,STD
1000,S (LR),mse,1.1404061249033737,0.10786240794777137
1000,X (RF),mse,0.20962877540083663,0.03410963097495582
1000,T (RF),mse,0.21007692468962047,0.03396463659752
1000,S (RF),mse,0.20975865598521917,0.03400056270570353
1000,LR,bias,0.00651806396256524,0.06159761206486871
1000,X (LR),bias,0.0055983606052530475,0.06108154550589781
1000,DR,bias,0.005472886194805362,0.0619386792245895
1000,CF,bias,0.008080840885288133,0.06300403473663796
1000,T (LR),bias,0.00559836060525304,0.061081545505897825
1000,S (LR),bias,0.0056844536951101065,0.06063565827085925
1000,X (RF),bias,0.018632027320001507,0.06459295811356584
1000,T (RF),bias,0.017221418173760307,0.0635569735879197
1000,S (RF),bias,0.01728696455706404,0.06410216412916035
1000,LR,r2,0.1612559457042053,0.01889949199224
1000,X (LR),r2,0.27143518469750505,0.04128599475365267
1000,DR,r2,0.2655029487271614,0.042069018754602124
1000,CF,r2,0.8765637925262533,0.06014801817768617
1000,T (LR),r2,0.27143518469750505,0.041285994753652654
1000,S (LR),r2,-0.0032607227429816434,0.0043442379651173054
1000,X (RF),r2,0.8139973570224904,0.034601814463756375
1000,T (RF),r2,0.8136221498513956,0.034607507818534534
1000,S (RF),r2,0.813884692247706,0.034642078220604985
2000,LR,mse,0.9338048016571269,0.055090152285456856
2000,X (LR),mse,0.7770337507775668,0.03926040526562343
2000,DR,mse,0.779763082049665,0.0397948776777409
2000,CF,mse,0.054096714977260735,0.018049102513932068
2000,T (LR),mse,0.7770337507775668,0.03926040526562343
2000,S (LR),mse,1.1204120047355663,0.07632353738626307
2000,X (RF),mse,0.17403433949792946,0.017051042552797
2000,T (RF),mse,0.17399875270883233,0.016868105954378553
2000,S (RF),mse,0.17376892411192135,0.016398354836163916
2000,LR,bias,0.0008262730804423682,0.04479196521738346
2000,X (LR),bias,0.0017290323232319494,0.04480811795951208
2000,DR,bias,0.00034046314086878067,0.04572979263403039
2000,CF,bias,-0.0009215997664438047,0.046213758226571706
2000,T (LR),bias,0.0017290323232319515,0.044808117959512075
2000,S (LR),bias,0.0018264170854697592,0.04472119570836307
2000,X (RF),bias,0.007673327886603533,0.04786634145826694
2000,T (RF),bias,0.007787494004585618,0.04734150864288586
2000,S (RF),bias,0.008001302102840347,0.04692286560836917
2000,LR,r2,0.16447246578233687,0.012931761983466806
2000,X (LR),r2,0.30416461008642587,0.021690347744469846
2000,DR,r2,0.3017091194117915,0.022637801496242383
2000,CF,r2,0.9512325753002038,0.01728753941038672
2000,T (LR),r2,0.30416461008642587,0.02169034774446984
2000,S (LR),r2,-0.0017976359323491442,0.0025955627603275757
2000,X (RF),r2,0.8437210279759094,0.018343138480981618
2000,T (RF),r2,0.8437385674722746,0.018342106741069886
2000,S (RF),r2,0.8439583292940379,0.017908970606788255
10000,LR,mse,0.9334610711980181,0.022731363826507773
10000,X (LR),mse,0.7513579542815549,0.01572220827785188
10000,DR,mse,0.7515861020058848,0.015725090960013427
10000,CF,mse,0.027452012092151992,0.004977179373169518
10000,T (LR),mse,0.7513579542815549,0.01572220827785188
10000,S (LR),mse,1.120719300462941,0.031263147806287056
10000,X (RF),mse,0.11130968616754501,0.0064246294818101875
10000,T (RF),mse,0.11135056640046209,0.0061517757526965665
10000,S (RF),mse,0.11124840465527354,0.006166253489692231
10000,LR,bias,-0.0009146026091630837,0.020846922656314184
10000,X (LR),bias,-0.0009162362849534669,0.020864703393446985
10000,DR,bias,-0.0012112066275340528,0.021372682760569153
10000,CF,bias,-0.00031225156240300924,0.022287538167324913
10000,T (LR),bias,-0.0009162362849534689,0.020864703393446985
10000,S (LR),bias,-0.0007520863276539166,0.02104175696391026
10000,X (RF),bias,0.0007370883732073279,0.021072205026568137
10000,T (RF),bias,0.0011799684725066885,0.021247248270925848
10000,S (RF),bias,0.0007216221677020047,0.021102239332397566
10000,LR,r2,0.16666223084000847,0.005587139711813448
10000,X (LR),r2,0.32914956300070786,0.00784107574583287
10000,DR,r2,0.328946458110559,0.007790156414749839
10000,CF,r2,0.9754699910292127,0.0045517868172764535
10000,T (LR),r2,0.32914956300070786,0.007841075745832878
10000,S (LR),r2,-0.0003965778652009044,0.00054592192547903
10000,X (RF),r2,0.9005783528730847,0.006119698377779933
10000,T (RF),r2,0.9005408162317619,0.005909799665558023
10000,S (RF),r2,0.9006354133500956,0.005860966644397549
